age_group,gender,activity,bmi,resting_hr,daily_steps,sleep_hours,vo2_max
30–44,Female,Moderately Active,25.8,63,9464,5.5,42.5
30–44,Female,Lightly Active,22.3,62,5215,8.0,35.8
18–29,Male,Very Active,18.5,52,8015,8.6,61.1
45–59,Male,Very Active,21.6,60,16486,7.6,58.7
18–29,Female,Sedentary,25.5,93,2662,8.7,33.6
18–29,Female,Sedentary,32.1,65,3410,5.7,35.6
45–59,Male,Lightly Active,22.8,74,7316,5.8,47.7
45–59,Male,Sedentary,28.1,61,3492,9.0,37.3
45–59,Male,Sedentary,20.1,73,3405,8.3,42.3
18–29,Female,Very Active,19.1,58,17725,5.5,56.9
18–29,Female,Sedentary,25.0,74,3763,5.7,36.1
30–44,Female,Sedentary,27.7,83,3287,5.4,31.7
45–59,Female,Lightly Active,23.2,62,6821,6.1,30.2
30–44,Female,Sedentary,29.7,63,2866,8.3,27.4
18–29,Male,Moderately Active,19.1,63,11067,5.1,50.6
18–29,Male,Very Active,22.3,56,17819,8.4,53.4
30–44,Male,Lightly Active,25.7,69,7236,7.2,40.0
45–59,Female,Sedentary,21.5,65,2856,7.2,36.2
18–29,Female,Very Active,23.3,56,23426,4.9,54.6
18–29,Female,Moderately Active,17.6,65,13868,4.8,38.7
18–29,Female,Lightly Active,23.8,76,5269,4.6,44.1
18–29,Male,Lightly Active,29.6,72,6487,7.2,42.6
30–44,Male,Lightly Active,17.6,64,8916,5.6,45.8
18–29,Female,Sedentary,32.5,95,2290,7.1,26.0
45–59,Female,Lightly Active,21.8,73,4645,4.6,41.4
45–59,Male,Moderately Active,22.6,66,16386,6.9,43.6
60+,Male,Lightly Active,32.1,73,5770,8.8,38.8
60+,Female,Moderately Active,22.5,59,6055,8.7,43.7
18–29,Female,Moderately Active,29.7,63,8689,9.0,36.6
18–29,Female,Moderately Active,23.5,70,9556,6.9,42.3
30–44,Male,Moderately Active,24.2,67,12279,7.6,44.5
45–59,Male,Sedentary,33.4,66,3026,8.5,43.8
18–29,Male,Moderately Active,26.2,64,7394,5.6,53.2
30–44,Male,Moderately Active,25.0,69,4034,6.7,46.6
30–44,Female,Sedentary,26.6,72,3390,8.3,35.7
18–29,Female,Very Active,19.1,60,16207,7.9,46.9
45–59,Female,Very Active,19.2,58,20216,5.1,53.2
45–59,Male,Moderately Active,28.7,80,9095,7.3,50.5
30–44,Male,Sedentary,37.8,88,2780,7.5,45.0
60+,Female,Moderately Active,24.9,62,9302,8.5,40.4
18–29,Male,Lightly Active,19.4,68,5573,6.0,44.6
18–29,Male,Lightly Active,23.4,87,7067,6.0,46.6
30–44,Male,Sedentary,24.7,83,2629,3.8,46.2
45–59,Male,Moderately Active,22.7,74,6782,8.4,50.3
30–44,Male,Moderately Active,21.7,58,13374,8.9,46.0
18–29,Male,Lightly Active,28.6,70,6821,6.1,38.0
60+,Female,Lightly Active,27.5,78,7478,4.7,36.8
30–44,Male,Lightly Active,32.8,66,8457,6.1,44.9
30–44,Female,Lightly Active,24.9,75,6178,6.5,29.5
45–59,Female,Lightly Active,27.3,68,6185,6.3,38.1
60+,Female,Sedentary,32.9,69,2132,5.8,36.1
45–59,Female,Lightly Active,30.6,70,7777,6.8,32.4
60+,Male,Sedentary,22.6,65,1752,6.5,37.3
18–29,Male,Moderately Active,25.8,71,10929,7.4,40.8
45–59,Female,Lightly Active,27.1,76,7274,9.4,35.9
45–59,Female,Moderately Active,25.5,68,7588,6.6,40.3
30–44,Male,Lightly Active,26.7,74,8342,6.8,48.3
30–44,Male,Sedentary,37.9,78,1410,6.7,39.4
60+,Female,Lightly Active,22.9,73,4506,6.7,39.9
18–29,Female,Sedentary,24.1,66,2972,5.0,36.2
30–44,Female,Lightly Active,23.2,68,7569,7.8,46.9
60+,Female,Moderately Active,23.6,63,7490,5.8,43.5
60+,Female,Sedentary,30.5,59,3578,5.3,29.1
60+,Female,Lightly Active,24.7,64,7726,9.1,34.2
60+,Female,Sedentary,34.2,56,2683,8.8,34.5
18–29,Female,Lightly Active,26.5,74,6696,4.9,40.1
60+,Male,Moderately Active,24.2,68,13068,7.5,51.1
30–44,Female,Sedentary,22.1,99,4220,6.8,30.2
45–59,Female,Sedentary,38.5,78,2587,6.5,38.7
30–44,Female,Moderately Active,24.3,64,8667,5.4,42.6
45–59,Male,Lightly Active,33.0,74,6260,7.3,41.4
30–44,Female,Lightly Active,24.0,72,4878,8.4,43.3
45–59,Male,Moderately Active,27.2,66,13252,4.9,57.4
18–29,Female,Sedentary,26.1,63,3391,8.6,39.5
18–29,Male,Very Active,27.2,59,15985,6.0,51.9
30–44,Female,Moderately Active,28.1,60,12959,6.2,50.3
18–29,Female,Lightly Active,29.9,75,7659,6.4,35.9
45–59,Male,Lightly Active,23.6,63,7961,9.6,42.2
30–44,Female,Lightly Active,34.1,79,7332,8.3,39.3
30–44,Female,Moderately Active,31.0,65,13613,8.1,41.7
18–29,Male,Sedentary,27.0,61,1903,5.1,37.6
18–29,Male,Moderately Active,25.0,68,11649,7.8,48.2
45–59,Male,Lightly Active,30.2,65,8856,5.8,45.5
30–44,Female,Moderately Active,18.2,61,9801,7.7,41.3
18–29,Male,Very Active,25.6,54,13998,4.6,60.0
18–29,Male,Lightly Active,30.6,78,5946,6.1,44.3
18–29,Male,Lightly Active,24.2,60,6503,7.8,41.5
45–59,Male,Lightly Active,17.7,75,8121,7.5,40.1
18–29,Male,Moderately Active,25.6,64,10512,7.7,51.7
30–44,Female,Sedentary,23.1,64,3905,8.0,33.5
45–59,Male,Moderately Active,19.4,72,11562,7.0,51.7
30–44,Female,Moderately Active,25.7,68,12561,7.8,43.3
30–44,Female,Very Active,26.0,51,16170,5.6,51.7
18–29,Female,Moderately Active,23.8,68,9965,8.2,40.2
60+,Male,Moderately Active,28.3,68,7576,4.1,49.2
30–44,Female,Sedentary,32.5,60,1054,6.6,39.5
30–44,Female,Sedentary,21.9,88,2685,7.7,34.1
60+,Female,Moderately Active,22.7,65,4941,6.3,47.3
45–59,Male,Moderately Active,28.0,63,10293,5.4,44.7
45–59,Male,Very Active,21.5,51,18314,8.4,54.9
60+,Female,Lightly Active,29.8,69,6535,4.9,34.8
18–29,Male,Sedentary,26.9,84,738,8.1,35.2
45–59,Female,Sedentary,32.8,74,2660,9.3,32.8
45–59,Female,Lightly Active,28.2,70,7282,6.1,36.1
30–44,Female,Lightly Active,25.5,67,8373,8.2,37.2
18–29,Female,Sedentary,32.6,87,3401,7.6,33.3
18–29,Female,Sedentary,17.8,94,2979,8.7,31.4
60+,Male,Lightly Active,22.2,69,7171,7.8,46.8
18–29,Male,Lightly Active,24.6,62,9233,5.2,48.7
18–29,Female,Very Active,25.6,54,16017,6.8,42.7
45–59,Male,Very Active,19.3,53,10717,7.1,55.2
45–59,Female,Sedentary,28.8,85,2606,6.3,36.3
18–29,Male,Moderately Active,25.5,63,8808,8.5,47.2
45–59,Male,Lightly Active,27.5,63,4720,8.9,51.2
30–44,Female,Very Active,22.6,55,13428,7.7,56.4
45–59,Female,Moderately Active,22.5,64,16520,7.6,38.9
18–29,Female,Sedentary,27.7,64,2163,8.1,31.3
18–29,Male,Sedentary,34.1,83,2577,8.0,41.4
45–59,Male,Very Active,21.1,54,25679,7.7,63.3
18–29,Female,Very Active,17.6,54,17898,6.2,51.9
30–44,Female,Lightly Active,28.4,68,6967,8.0,39.2
18–29,Male,Moderately Active,29.3,59,11606,8.6,51.0
45–59,Female,Lightly Active,22.3,81,6731,7.3,39.8
60+,Male,Moderately Active,28.9,77,9394,6.9,50.1
45–59,Female,Lightly Active,28.6,66,6926,6.4,38.1
60+,Male,Sedentary,23.0,57,3408,7.2,39.3
60+,Female,Lightly Active,23.7,77,3906,5.2,37.8
30–44,Male,Moderately Active,22.1,60,9408,5.5,49.2
30–44,Female,Lightly Active,27.2,76,3893,5.9,43.6
60+,Female,Moderately Active,23.9,67,8432,6.3,45.8
60+,Male,Very Active,25.5,54,17685,5.2,57.0
60+,Male,Sedentary,33.4,80,2623,8.2,47.8
45–59,Female,Very Active,19.1,55,15020,5.3,42.7
18–29,Female,Moderately Active,20.0,59,4420,7.1,41.5
60+,Female,Moderately Active,26.5,53,7438,5.5,43.2
60+,Female,Sedentary,26.3,59,2037,6.1,32.7
45–59,Male,Lightly Active,25.8,79,3864,6.5,47.3
60+,Female,Very Active,24.1,54,16523,5.3,52.5
30–44,Male,Moderately Active,27.2,64,10594,4.4,51.4
60+,Female,Moderately Active,20.6,66,12261,7.8,38.5
18–29,Female,Sedentary,17.4,54,4016,7.8,36.8
60+,Female,Lightly Active,26.0,67,8558,6.9,35.8
18–29,Male,Lightly Active,23.1,66,7030,5.7,45.0
30–44,Male,Moderately Active,24.7,65,10918,7.5,51.8
18–29,Female,Very Active,22.6,59,16985,8.7,40.7
30–44,Male,Lightly Active,22.6,68,4979,7.9,43.9
18–29,Female,Lightly Active,34.8,71,6906,8.0,29.8
60+,Female,Lightly Active,26.6,73,5727,6.1,37.3
30–44,Male,Sedentary,26.0,64,2016,7.7,31.9
60+,Male,Sedentary,29.5,64,1561,7.9,44.6
18–29,Female,Lightly Active,28.6,72,2864,8.1,35.8
18–29,Female,Moderately Active,22.5,61,9935,8.8,40.2
45–59,Male,Lightly Active,35.8,71,5477,6.5,53.6
45–59,Male,Very Active,19.1,52,13368,7.9,56.1
30–44,Male,Very Active,19.3,53,11950,6.3,60.2
45–59,Female,Sedentary,20.7,81,2549,8.7,28.3
45–59,Female,Moderately Active,24.5,70,8083,7.5,38.8
30–44,Female,Sedentary,31.5,85,3073,7.0,32.3
60+,Female,Sedentary,27.3,76,3589,5.5,30.3
45–59,Female,Lightly Active,28.4,76,5766,7.5,35.4
45–59,Female,Sedentary,31.4,78,3870,7.1,32.2
30–44,Male,Moderately Active,23.3,49,8790,7.9,46.8
18–29,Female,Moderately Active,25.9,71,6252,6.2,36.4
18–29,Female,Moderately Active,23.9,69,13496,7.7,44.4
45–59,Female,Moderately Active,23.2,71,6000,6.9,42.5
45–59,Female,Moderately Active,22.9,71,9266,5.1,40.5
30–44,Male,Moderately Active,25.2,65,12223,5.8,56.6
45–59,Female,Very Active,25.7,53,20336,5.9,52.6
18–29,Female,Moderately Active,20.6,56,10142,7.9,41.0
18–29,Female,Lightly Active,24.6,73,5639,5.8,36.7
60+,Male,Lightly Active,27.2,69,9649,6.5,35.6
30–44,Female,Lightly Active,33.5,67,7878,4.5,34.0
18–29,Female,Sedentary,31.2,75,3860,4.4,34.0
30–44,Female,Moderately Active,21.9,58,11543,5.1,48.9
30–44,Male,Very Active,20.6,59,18113,5.8,53.9
45–59,Female,Very Active,25.2,59,16900,5.5,48.4
60+,Female,Sedentary,27.4,91,2894,6.9,32.9
30–44,Female,Sedentary,22.6,69,1516,8.8,33.7
30–44,Female,Sedentary,34.3,65,1927,6.2,28.3
30–44,Male,Moderately Active,25.5,66,11988,7.7,44.9
30–44,Female,Moderately Active,20.7,61,13142,8.4,53.0
30–44,Male,Moderately Active,20.2,58,10894,7.2,43.5
18–29,Male,Very Active,17.6,56,12140,5.4,62.1
60+,Male,Sedentary,25.8,100,3160,6.1,41.5
30–44,Male,Lightly Active,27.7,76,7065,7.3,44.6
30–44,Male,Moderately Active,27.6,61,6305,7.6,51.0
18–29,Male,Lightly Active,28.2,71,8750,8.3,51.8
45–59,Male,Lightly Active,21.3,70,7791,8.4,45.3
18–29,Female,Lightly Active,25.4,72,4905,7.0,40.0
30–44,Male,Moderately Active,29.1,58,10312,7.2,56.7
45–59,Male,Very Active,21.6,59,14831,5.6,60.8
30–44,Male,Sedentary,33.0,65,4030,8.7,33.1
60+,Male,Lightly Active,29.1,68,5645,8.5,38.2
18–29,Male,Very Active,24.6,53,11803,5.6,57.9
45–59,Female,Lightly Active,28.2,76,6320,3.9,34.7
60+,Female,Moderately Active,26.9,55,8196,7.9,43.7
30–44,Male,Very Active,19.2,59,19368,8.1,58.3
45–59,Female,Sedentary,36.9,92,2922,4.7,39.9
30–44,Male,Sedentary,19.6,84,2046,7.4,38.5
45–59,Female,Sedentary,30.6,72,2409,5.5,32.2
60+,Female,Sedentary,28.7,55,2621,8.6,28.4
45–59,Male,Lightly Active,24.0,76,6012,9.0,44.5
60+,Male,Sedentary,23.9,91,1675,7.8,35.4
30–44,Female,Lightly Active,28.7,75,4730,5.4,40.0
30–44,Male,Moderately Active,27.1,63,11056,5.5,48.3
30–44,Male,Lightly Active,26.1,71,8393,7.7,43.6
45–59,Female,Lightly Active,25.3,73,5696,6.5,41.1
60+,Female,Sedentary,35.7,69,3059,9.4,32.9
45–59,Male,Moderately Active,23.2,65,15591,7.3,53.1
18–29,Female,Lightly Active,26.3,78,6832,5.7,35.2
30–44,Male,Sedentary,27.9,85,1425,7.9,43.0
45–59,Male,Very Active,28.7,54,17897,8.8,52.6
60+,Female,Moderately Active,21.8,66,10930,5.4,46.4
18–29,Female,Moderately Active,27.2,61,9498,6.8,40.2
18–29,Female,Moderately Active,19.1,58,7961,7.5,38.4
30–44,Female,Lightly Active,22.7,65,7700,7.4,38.6
18–29,Female,Lightly Active,25.3,75,2395,7.5,44.4
60+,Female,Lightly Active,26.0,65,5828,7.5,38.0
30–44,Female,Moderately Active,23.6,63,9669,6.0,43.1
30–44,Male,Very Active,22.6,59,13455,8.4,51.5
18–29,Female,Moderately Active,22.3,71,10219,6.6,53.3
30–44,Male,Lightly Active,31.7,66,4600,7.3,40.0
60+,Female,Moderately Active,21.3,53,11677,6.4,44.1
30–44,Male,Moderately Active,26.9,61,16884,5.7,51.2
18–29,Male,Sedentary,32.5,65,2262,7.4,39.4
18–29,Female,Lightly Active,22.7,65,7096,5.6,40.1
60+,Female,Sedentary,27.1,76,3115,7.4,36.2
60+,Male,Lightly Active,26.5,69,6792,6.8,37.4
18–29,Male,Moderately Active,29.9,75,9455,5.7,56.6
45–59,Female,Lightly Active,25.0,73,6504,6.5,34.8
18–29,Female,Moderately Active,36.1,68,10953,4.8,41.2
30–44,Male,Lightly Active,29.6,79,7695,7.1,41.8
18–29,Male,Sedentary,30.8,83,3581,7.4,35.4
45–59,Male,Moderately Active,27.3,66,13315,7.6,55.0
60+,Male,Moderately Active,19.0,68,8873,8.1,48.7
18–29,Male,Moderately Active,28.3,64,10896,4.6,53.4
30–44,Female,Moderately Active,20.3,70,10152,7.8,46.5
18–29,Female,Moderately Active,27.3,71,12376,5.5,49.0
30–44,Male,Sedentary,25.9,87,1746,8.7,34.8
18–29,Male,Moderately Active,21.9,67,12902,8.3,47.6
18–29,Male,Lightly Active,33.6,88,6973,6.1,46.8
60+,Female,Moderately Active,24.2,69,13138,6.8,47.0
18–29,Male,Moderately Active,19.6,67,10601,7.9,46.2
60+,Male,Sedentary,34.1,75,2854,6.7,35.6
18–29,Female,Lightly Active,21.6,75,5507,5.4,40.6
30–44,Male,Moderately Active,28.9,56,9603,7.3,50.2
30–44,Female,Lightly Active,26.4,82,3454,5.9,35.2
60+,Female,Moderately Active,20.4,55,10138,9.3,37.1
18–29,Male,Very Active,24.8,51,14142,6.1,52.8
18–29,Male,Sedentary,31.7,82,3071,7.2,42.3
45–59,Female,Moderately Active,17.7,66,8948,7.9,47.4
45–59,Male,Very Active,22.6,52,17215,8.1,61.2
45–59,Male,Sedentary,30.6,87,2890,8.2,36.1
18–29,Female,Lightly Active,27.5,67,3752,5.6,42.4
18–29,Female,Moderately Active,23.9,64,10595,7.6,48.1
45–59,Female,Moderately Active,26.9,65,12300,7.2,44.5
45–59,Male,Moderately Active,26.3,64,12461,7.9,50.5
45–59,Male,Moderately Active,24.6,69,8529,6.0,52.4
30–44,Male,Moderately Active,23.7,67,7174,7.8,43.8
18–29,Male,Lightly Active,27.1,71,8129,7.3,37.9
60+,Female,Sedentary,25.9,68,3327,8.3,32.7
45–59,Male,Moderately Active,21.2,60,8358,8.7,49.4
18–29,Male,Sedentary,23.2,76,2328,7.0,28.2
60+,Male,Very Active,22.6,56,16089,5.8,57.8
30–44,Male,Sedentary,24.5,81,3683,5.6,43.8
30–44,Male,Sedentary,28.2,80,2728,7.6,45.4
30–44,Female,Moderately Active,28.8,74,7208,6.8,44.3
45–59,Male,Sedentary,27.9,81,1471,6.8,37.9
30–44,Female,Lightly Active,27.1,73,5266,8.0,42.8
30–44,Male,Very Active,22.3,60,13061,7.2,61.7
45–59,Male,Moderately Active,28.7,67,8029,5.4,50.7
18–29,Female,Sedentary,37.6,72,4126,7.4,35.8
60+,Female,Lightly Active,24.6,79,4142,7.4,40.9
30–44,Male,Moderately Active,26.8,67,8859,5.2,58.4
30–44,Male,Lightly Active,34.9,69,9711,7.9,31.7
45–59,Female,Sedentary,23.0,69,2354,8.4,36.4
45–59,Female,Sedentary,34.1,72,2984,6.2,32.2
30–44,Male,Moderately Active,18.9,69,13603,6.2,50.2
45–59,Male,Lightly Active,26.6,60,6318,7.7,48.2
60+,Male,Moderately Active,24.1,71,11344,9.0,50.1
45–59,Female,Sedentary,20.1,85,2462,5.3,34.1
45–59,Female,Moderately Active,28.0,72,8581,9.0,42.2
18–29,Male,Lightly Active,27.1,77,4081,4.9,47.1
30–44,Male,Lightly Active,22.8,82,6174,5.2,46.7
30–44,Male,Moderately Active,25.6,67,11325,9.0,46.2
18–29,Female,Sedentary,33.7,91,4548,9.0,34.9
45–59,Female,Very Active,18.6,50,14102,6.9,53.0
30–44,Female,Moderately Active,15.0,65,13126,7.8,44.1
30–44,Female,Lightly Active,26.3,71,7900,5.3,42.8
18–29,Male,Moderately Active,22.0,63,8871,6.5,49.6
30–44,Female,Very Active,26.0,53,16101,7.9,46.1
30–44,Male,Lightly Active,25.0,73,6561,8.2,45.5
45–59,Male,Lightly Active,27.7,76,4420,7.4,44.8
30–44,Male,Moderately Active,23.9,72,9945,6.8,44.3
18–29,Female,Sedentary,21.0,60,2325,5.5,35.8
18–29,Male,Moderately Active,24.6,51,9990,5.2,58.0
45–59,Male,Sedentary,22.1,55,2869,7.2,39.8
18–29,Female,Moderately Active,20.1,67,10384,5.4,40.5
30–44,Female,Lightly Active,22.1,74,5592,4.2,29.6
30–44,Male,Sedentary,22.8,76,2150,8.4,41.6
30–44,Male,Very Active,22.3,57,9801,7.2,60.8
60+,Female,Lightly Active,24.9,82,7893,6.1,36.7
45–59,Male,Lightly Active,27.6,73,6529,7.8,44.4
60+,Male,Moderately Active,19.5,61,12744,7.9,43.1
60+,Male,Lightly Active,25.5,63,6260,8.1,46.1
18–29,Male,Sedentary,26.5,79,2981,6.8,35.4
18–29,Female,Moderately Active,25.1,64,9889,8.0,45.3
30–44,Female,Very Active,23.4,65,14696,7.5,50.5
30–44,Male,Sedentary,29.8,73,3185,7.5,39.2
30–44,Female,Very Active,20.4,59,14920,7.5,54.7
18–29,Female,Moderately Active,24.6,71,12606,7.6,38.5
18–29,Female,Sedentary,26.3,54,4106,8.0,40.2
30–44,Male,Moderately Active,28.7,73,13355,8.3,51.9
45–59,Male,Lightly Active,26.9,82,8810,8.4,44.9
45–59,Female,Moderately Active,24.8,63,7973,10.0,40.8
60+,Female,Moderately Active,20.4,69,13139,7.8,46.7
18–29,Male,Sedentary,25.9,77,3069,6.5,38.1
30–44,Male,Sedentary,30.3,78,3080,7.4,44.9
60+,Male,Lightly Active,26.2,88,5420,7.2,50.5
45–59,Male,Lightly Active,26.1,73,5933,6.8,41.7
30–44,Male,Very Active,18.6,57,8280,5.0,59.0
30–44,Male,Moderately Active,21.9,57,11723,5.3,44.1
18–29,Male,Moderately Active,23.6,67,10050,7.1,54.3
60+,Female,Lightly Active,31.3,79,5722,8.2,39.6
45–59,Female,Sedentary,19.2,78,4068,5.5,32.4
30–44,Male,Moderately Active,21.2,61,10521,7.8,42.3
30–44,Male,Sedentary,19.1,73,2260,8.1,42.4
30–44,Male,Sedentary,30.7,56,2985,9.0,40.0
18–29,Male,Lightly Active,31.2,61,9069,8.5,40.6
45–59,Female,Very Active,23.7,53,15542,5.9,51.1
30–44,Male,Moderately Active,26.3,65,12276,6.5,55.7
18–29,Female,Sedentary,23.6,76,2422,6.1,39.2
30–44,Male,Very Active,23.7,53,17730,6.6,56.0
60+,Female,Moderately Active,22.0,68,10953,7.2,38.3
30–44,Female,Moderately Active,24.7,70,10503,8.4,47.1
30–44,Female,Sedentary,31.6,64,2609,7.4,27.5
45–59,Female,Lightly Active,25.3,62,6075,4.9,34.2
45–59,Male,Lightly Active,29.8,67,3670,9.4,47.9
45–59,Male,Moderately Active,24.0,71,6948,8.7,54.9
60+,Male,Moderately Active,25.4,74,7073,5.1,52.7
18–29,Female,Lightly Active,34.1,71,4211,8.4,37.1
60+,Female,Lightly Active,28.5,71,6073,8.4,40.7
60+,Male,Lightly Active,23.5,66,5742,6.9,49.7
30–44,Female,Very Active,21.6,61,12302,4.6,52.1
45–59,Male,Sedentary,33.5,72,3958,7.5,31.7
18–29,Male,Moderately Active,27.8,65,9896,8.4,47.6
30–44,Female,Very Active,22.7,52,19102,7.5,53.9
18–29,Male,Moderately Active,19.6,56,7244,6.8,47.4
18–29,Male,Lightly Active,22.7,70,7123,5.5,48.8
60+,Female,Moderately Active,25.1,64,12655,6.9,44.8
18–29,Female,Very Active,24.2,54,17377,7.0,51.4
30–44,Female,Moderately Active,27.7,65,9508,6.5,48.0
30–44,Male,Sedentary,18.4,86,2767,5.7,39.1
30–44,Male,Sedentary,33.5,68,3267,6.6,43.0
30–44,Female,Sedentary,36.4,87,3041,6.9,32.4
30–44,Female,Sedentary,16.6,92,3869,5.4,34.6
45–59,Male,Moderately Active,24.5,58,8417,7.7,53.8
60+,Female,Lightly Active,29.5,67,7935,4.8,34.7
30–44,Female,Moderately Active,20.0,61,11137,4.6,44.0
60+,Female,Moderately Active,22.9,67,10925,7.4,38.8
45–59,Female,Lightly Active,28.7,73,6220,5.8,36.5
45–59,Male,Sedentary,26.3,67,3845,5.4,38.2
18–29,Female,Lightly Active,25.0,81,5163,8.2,35.3
18–29,Male,Sedentary,30.1,86,2076,7.1,43.7
60+,Male,Very Active,20.0,56,16071,5.4,57.1
30–44,Male,Lightly Active,22.2,68,5458,5.5,55.4
30–44,Male,Sedentary,31.4,62,3230,6.8,40.3
45–59,Female,Sedentary,33.9,85,4514,7.8,30.8
30–44,Female,Moderately Active,25.8,64,10659,8.4,46.3
45–59,Male,Moderately Active,28.9,58,10926,5.3,52.1
30–44,Male,Very Active,23.8,54,21516,7.7,61.1
60+,Female,Lightly Active,33.9,82,7067,5.6,36.3
18–29,Male,Sedentary,29.3,62,3843,7.4,38.7
18–29,Male,Moderately Active,25.3,69,9891,8.6,51.1
45–59,Female,Lightly Active,28.1,85,6405,5.2,37.5
18–29,Female,Lightly Active,24.0,70,5486,5.0,42.7
60+,Female,Very Active,20.9,50,17569,7.4,45.5
45–59,Male,Moderately Active,21.6,68,11543,7.8,53.7
18–29,Female,Lightly Active,24.3,67,7559,7.5,46.1
18–29,Female,Very Active,27.8,56,17478,5.0,53.6
60+,Female,Lightly Active,33.8,76,6279,6.6,41.9
45–59,Male,Sedentary,27.3,61,3434,5.2,40.3
60+,Female,Sedentary,26.8,90,4174,6.5,28.6
18–29,Female,Sedentary,17.8,63,3098,5.7,24.6
60+,Male,Lightly Active,22.5,65,4499,5.4,47.0
30–44,Male,Very Active,20.9,55,12533,8.5,56.7
45–59,Male,Very Active,21.7,53,16832,5.2,52.1
30–44,Female,Moderately Active,22.7,65,8597,9.7,49.9
18–29,Male,Very Active,23.3,61,14237,7.6,55.2
60+,Female,Lightly Active,29.6,65,5703,8.3,38.5
60+,Male,Lightly Active,23.6,79,7092,8.2,45.8
30–44,Female,Sedentary,36.5,82,4268,5.4,36.0
60+,Male,Lightly Active,27.9,67,4263,8.4,47.1
18–29,Female,Lightly Active,30.1,74,8034,7.0,34.2
18–29,Female,Sedentary,26.7,64,3783,7.1,27.2
18–29,Female,Very Active,24.1,47,16932,7.7,49.7
30–44,Female,Sedentary,31.4,84,2833,8.3,31.6
18–29,Female,Moderately Active,29.2,70,12174,5.4,46.1
30–44,Female,Sedentary,32.4,71,3045,8.3,30.2
18–29,Male,Lightly Active,29.9,76,6257,7.6,46.1
45–59,Female,Moderately Active,22.8,64,6518,7.7,46.9
45–59,Male,Sedentary,35.2,58,3367,8.4,34.4
45–59,Female,Sedentary,22.4,60,4115,7.6,34.6
18–29,Female,Moderately Active,22.7,67,7427,5.4,43.7
45–59,Female,Moderately Active,25.4,67,8551,7.3,40.9
18–29,Male,Lightly Active,21.9,72,5793,5.1,38.5
45–59,Male,Lightly Active,22.8,68,6079,8.2,35.7
30–44,Female,Sedentary,24.2,69,2425,9.3,31.6
30–44,Male,Lightly Active,28.0,87,8399,6.0,45.8
18–29,Female,Very Active,22.4,57,22976,8.2,51.7
45–59,Male,Sedentary,34.0,77,3175,8.8,37.8
60+,Male,Lightly Active,34.0,80,5501,8.1,49.8
45–59,Female,Moderately Active,25.4,63,10848,7.8,47.3
60+,Male,Moderately Active,22.9,59,8026,8.8,48.3
60+,Male,Sedentary,30.9,62,2828,5.8,39.1
18–29,Male,Moderately Active,21.6,72,11695,5.9,49.4
45–59,Female,Moderately Active,24.3,69,11931,6.8,43.5
30–44,Female,Sedentary,41.8,63,3443,6.6,34.8
30–44,Female,Sedentary,27.9,91,2621,6.1,39.5
18–29,Male,Very Active,23.5,55,16446,5.0,52.9
60+,Male,Lightly Active,25.9,68,5967,7.4,43.4
45–59,Male,Sedentary,26.9,90,3699,6.5,40.8
18–29,Male,Moderately Active,26.0,63,11408,7.6,46.5
30–44,Male,Lightly Active,21.4,70,8981,7.7,43.0
30–44,Male,Sedentary,28.1,76,3259,8.3,47.5
45–59,Male,Lightly Active,21.1,63,5212,8.6,49.5
60+,Female,Lightly Active,32.7,73,4680,8.3,39.8
30–44,Male,Moderately Active,27.7,60,10844,5.1,49.5
30–44,Female,Lightly Active,23.4,72,2999,7.3,34.5
30–44,Male,Sedentary,19.3,55,2672,7.4,43.2
30–44,Female,Moderately Active,26.1,57,9207,7.0,46.5
30–44,Female,Moderately Active,24.4,66,8726,5.5,40.1
18–29,Female,Lightly Active,35.5,79,6703,7.5,40.3
18–29,Female,Sedentary,36.3,82,2167,6.6,26.9
30–44,Male,Sedentary,32.3,78,1732,6.3,43.6
60+,Male,Very Active,21.5,58,17696,6.7,52.6
30–44,Female,Sedentary,27.6,77,2702,6.8,36.8
18–29,Female,Lightly Active,27.7,77,6993,8.1,41.6
45–59,Female,Moderately Active,25.6,67,10869,7.1,50.2
60+,Male,Moderately Active,22.2,68,11652,6.5,53.3
30–44,Female,Very Active,19.5,49,16724,7.3,57.6
18–29,Female,Lightly Active,34.2,78,7363,7.9,34.6
45–59,Male,Very Active,22.9,58,21908,8.0,52.5
30–44,Male,Sedentary,31.2,86,3260,5.8,40.7
45–59,Female,Moderately Active,21.8,70,11717,5.9,37.3
18–29,Female,Lightly Active,32.0,68,6658,5.3,48.4
18–29,Male,Very Active,25.3,52,9356,5.8,62.4
30–44,Male,Very Active,22.9,54,15508,7.2,54.1
45–59,Female,Moderately Active,25.2,54,13446,6.9,38.8
30–44,Female,Moderately Active,25.4,67,11559,7.4,43.0
18–29,Female,Sedentary,29.5,86,2610,7.9,32.9
30–44,Male,Lightly Active,28.7,75,7052,5.1,38.8
45–59,Male,Sedentary,31.0,81,2108,9.2,40.5
18–29,Female,Moderately Active,23.9,57,12013,7.8,44.0
45–59,Male,Sedentary,22.9,54,2609,8.8,48.0
45–59,Male,Lightly Active,26.4,80,6752,6.2,46.6
30–44,Female,Sedentary,32.9,79,2183,5.0,37.3
60+,Male,Moderately Active,26.7,69,10970,4.9,52.5
60+,Female,Lightly Active,31.7,74,2894,4.2,40.1
30–44,Male,Lightly Active,32.2,71,5849,7.8,42.3
